2022_crime,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
강력범죄,살인기수,35,29,16,14,1,6,8,2,6,0,2,0,1,2,1,3,1,4,5,6,1,5,2,1,1,1,2,4,2,1,2,1,3,1,1,6,2,2,1,0,3,2,0,0,5,0,0,0,0,1,1,4,3,4,2,2,0,1,6,1,2,0,2,2,3,0,0,3,1,0,0,2,0,1,3,2,0,1,2,1,2,5,0,1,3,4,19
강력범죄,살인미수등,68,24,15,38,2,11,7,3,8,0,2,3,1,0,4,5,1,3,6,7,7,6,3,4,0,2,1,9,0,5,3,3,5,1,3,5,3,1,0,0,0,2,1,2,8,2,1,0,1,4,0,2,7,13,5,3,1,3,3,1,1,0,2,2,2,1,1,3,1,1,1,0,0,1,4,1,8,2,0,3,1,11,1,4,4,1,43
강력범죄,강도,118,43,31,30,10,17,10,2,4,0,4,1,1,0,2,6,0,11,13,8,8,9,6,3,4,1,1,1,2,4,0,3,6,0,5,4,2,4,2,1,1,4,0,2,19,0,0,0,0,1,1,5,3,12,2,2,0,3,3,0,1,0,2,7,0,2,1,3,0,0,0,0,1,1,3,3,4,1,1,0,0,12,5,1,4,1,28
강력범죄,강간,1200,347,215,340,152,200,112,26,63,2,17,18,15,23,34,40,12,93,69,144,51,80,24,35,20,10,35,64,7,73,16,46,67,15,22,53,30,3,8,15,35,35,5,18,103,28,5,7,13,19,25,12,38,95,26,3,5,24,81,12,14,15,36,31,21,33,21,42,11,2,6,13,14,6,65,29,44,6,12,36,41,77,19,17,78,18,375
강력범죄,유사강간,219,83,43,61,32,34,14,6,13,0,3,2,1,0,3,5,1,18,19,25,12,14,1,7,3,2,3,15,0,6,4,10,7,1,4,10,8,2,1,1,8,8,0,0,13,2,1,9,1,4,1,0,3,12,4,2,0,2,9,1,1,1,9,8,6,10,2,6,3,0,1,2,5,2,7,3,7,0,2,3,2,14,4,8,13,3,52
강력범죄,강제추행,4358,1064,648,1030,391,500,311,73,241,10,76,81,38,59,97,118,45,292,269,394,146,236,62,148,50,31,69,185,16,154,64,125,177,48,50,186,72,17,20,32,80,74,12,34,257,63,5,17,22,51,31,58,86,213,68,12,13,58,190,21,23,32,80,67,72,51,65,72,20,8,14,38,20,19,126,59,118,23,25,66,97,232,38,84,201,18,848
강력범죄,기타강간강제추행등,35,14,9,16,8,2,10,1,4,0,2,0,0,0,1,0,0,1,6,10,3,3,2,4,1,1,2,2,1,0,0,2,3,1,1,1,1,0,0,1,3,1,2,1,4,3,0,0,2,0,0,1,1,3,0,0,2,1,1,0,0,0,1,1,3,1,2,1,0,0,0,0,0,0,5,0,1,1,1,0,1,5,2,0,3,1,23
강력범죄,방화,217,89,50,70,35,40,28,8,19,0,2,5,3,6,7,11,3,26,11,27,11,26,5,12,4,5,4,17,1,6,3,8,22,7,5,16,3,1,2,1,7,9,2,3,22,4,1,7,2,6,2,6,5,8,9,3,0,5,20,2,2,0,7,6,8,4,5,11,6,1,4,10,1,4,14,2,13,5,5,4,10,24,5,9,20,0,114
