,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
강력범죄,살인기수,47,15,11,21,5,11,8,1,6,0,1,1,1,0,1,3,0,3,5,5,0,4,0,1,0,0,1,2,0,0,1,3,3,4,0,2,3,1,0,0,2,0,0,1,5,1,0,2,0,1,1,0,1,2,1,1,1,3,4,3,0,2,1,2,3,0,1,3,2,0,0,0,1,0,4,2,2,1,2,1,3,3,1,2,4,2,29
강력범죄,살인미수등,76,30,13,21,4,8,7,3,7,0,0,8,1,1,3,4,0,7,8,10,4,7,2,4,2,1,3,6,0,2,0,6,9,1,1,5,1,0,1,3,1,0,1,2,2,0,1,0,0,2,0,1,5,9,1,1,1,2,4,0,0,2,2,2,3,3,2,4,1,0,0,1,0,0,2,5,2,0,1,2,3,8,0,1,11,1,30
강력범죄,강도,122,51,23,34,13,9,10,1,2,0,0,0,1,0,7,5,1,6,11,7,2,6,2,4,2,0,0,7,0,6,0,2,6,1,0,9,6,0,1,1,0,2,0,2,6,2,0,2,1,1,1,1,2,10,3,1,0,2,8,1,0,0,2,1,1,1,2,3,4,0,0,1,1,1,4,1,8,0,0,4,11,5,0,4,8,1,29
강력범죄,강간,1134,321,220,345,148,164,120,22,67,4,27,34,16,21,34,37,14,75,93,151,62,113,17,52,18,30,28,48,7,51,20,30,66,18,15,54,19,13,9,9,27,29,2,12,96,27,4,13,9,14,19,23,35,74,21,5,6,24,60,9,14,17,41,46,35,31,30,49,13,7,10,20,7,11,62,20,40,7,11,17,23,87,7,23,89,13,298
강력범죄,유사강간,180,55,33,56,24,27,18,4,11,0,1,3,4,4,2,5,2,14,10,30,8,12,1,5,1,0,4,11,1,13,1,4,9,2,4,8,6,0,4,1,4,6,1,0,12,1,0,4,3,0,1,3,2,9,5,0,1,3,8,3,6,1,2,4,10,5,2,9,5,1,3,1,1,2,7,10,8,0,3,2,3,13,5,7,12,0,48
강력범죄,강제추행,3553,936,560,893,367,447,285,50,206,15,64,56,36,42,102,114,24,249,255,328,164,211,60,132,48,21,71,194,20,124,61,62,181,30,47,177,63,24,15,20,65,77,10,32,168,48,4,24,30,29,26,57,63,189,57,22,17,74,175,20,25,18,113,60,76,78,57,94,26,10,12,48,25,21,128,58,106,16,21,72,63,237,30,73,199,21,781
강력범죄,기타강간강제추행등,39,19,11,12,4,9,5,1,3,0,0,2,3,1,1,3,0,2,2,6,3,1,0,1,1,0,0,6,0,1,0,0,2,0,0,6,0,0,0,1,4,1,0,1,2,0,0,1,1,0,0,2,0,3,1,2,1,1,7,0,1,1,3,0,0,3,0,1,1,0,0,0,1,1,3,3,2,5,0,1,3,5,0,0,2,1,29
강력범죄,방화,186,54,54,57,22,39,27,2,9,0,3,10,0,5,6,12,1,6,22,28,12,17,6,9,6,3,2,12,0,13,4,19,18,1,2,15,3,2,0,1,8,3,3,3,18,2,2,2,5,6,3,7,5,14,7,3,3,3,10,3,2,2,8,5,3,5,4,5,3,0,1,2,0,2,9,3,10,4,3,9,5,25,5,5,11,0,117
